,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
img_gray_mean,26.0,156.0509692714225,21.839418046732508,105.02856732536765,139.87072897518382,157.06687442555148,177.895166015625,180.28197954963235,-0.5558595476744065,-0.7337296275478584
img_gray_std,26.0,17.532556729361364,7.200558290573428,8.232811817891244,11.742732229600229,17.057607537806284,22.103997624019968,37.87409038643796,0.9188400604118769,0.5618821706319146
img_gray_min,26.0,83.53846153846153,26.51675812648412,31.0,65.25,96.0,96.75,132.0,-0.341211087872583,-0.612309688943097
img_gray_max,26.0,188.80769230769232,0.800960961307392,187.0,188.25,189.0,189.0,190.0,-0.6003254605136933,0.19284716112006617
img_gray_median,26.0,158.30769230769232,24.47655078767306,101.0,138.25,163.5,182.0,184.0,-0.6317641187106667,-0.7027425066144946
img_gray_p10,26.0,133.15384615384616,28.78429058732184,88.0,106.0,133.5,162.75,170.0,-0.20410121177394802,-1.4807711978800686
img_gray_p25,26.0,146.46153846153845,27.672702461784638,92.0,120.75,144.0,175.75,178.0,-0.29590938236636694,-1.2255014326329863
img_gray_p75,26.0,168.15384615384616,19.321888743479107,115.0,157.5,174.0,185.0,185.0,-0.9974057720633227,0.290901848612374
img_gray_p90,26.0,176.0,14.661514246489004,130.0,170.25,182.5,186.0,186.0,-1.738317604262691,2.4841995858984998
img_gray_iqr,26.0,21.692307692307693,12.686273623942473,7.0,9.25,21.0,29.0,50.0,0.6070187856559025,-0.5197589946746493
img_gray_range,26.0,105.26923076923077,26.235178966125147,57.0,92.0,93.5,123.5,158.0,0.3389749640064836,-0.5838684679574495
img_lbp_0,26.0,0.02813074448529412,0.004808490926264744,0.019175091911764707,0.02547248391544118,0.027467256433823528,0.03135483685661765,0.038907398897058826,0.2888895353515788,-0.1705059063417238
img_lbp_1,26.0,0.013155755090497738,0.0023326394512361913,0.009018841911764705,0.011457375919117647,0.013131893382352941,0.014348288143382352,0.019203814338235294,0.6561330614592629,0.2806819204315807
img_lbp_2,26.0,0.014577957084276017,0.002583749462708283,0.009771369485294118,0.012887752757352941,0.014117072610294119,0.01608599494485294,0.020909926470588234,0.5523449462131925,0.07575404949708542
img_lbp_3,26.0,0.01350661057692308,0.002121727215127885,0.009386488970588235,0.012218520220588235,0.01364602481617647,0.014698701746323529,0.01808938419117647,-0.05996965685169114,-0.2793173908428903
img_lbp_4,26.0,0.012399913390837104,0.0020903051988618495,0.008949908088235294,0.01086138556985294,0.012471277573529413,0.013631663602941177,0.016469439338235293,0.20077564058795094,-0.7182189426997017
