imagen,lombrices_agregadas_g,replica,modelo,validacion,prediccion,error,error_abs
T40G-3.jpg,40,3,RandomForest,LOO,40.89071428571428,-0.8907142857142816,0.8907142857142816
T40G-4.jpg,40,4,RandomForest,LOO,40.906666666666666,-0.9066666666666663,0.9066666666666663
T40G-5.jpg,40,5,RandomForest,LOO,41.311369047619046,-1.3113690476190456,1.3113690476190456
T50G-1.jpg,50,1,RandomForest,LOO,37.73755952380952,12.262440476190477,12.262440476190477
T50G-2.jpg,50,2,RandomForest,LOO,45.06136904761904,4.9386309523809615,4.9386309523809615
T50G-3.jpg,50,3,RandomForest,LOO,44.90922619047618,5.090773809523817,5.090773809523817
T50G-4.jpg,50,4,RandomForest,LOO,43.59255952380952,6.40744047619048,6.40744047619048
T50G-5.jpg,50,5,RandomForest,LOO,46.18089285714285,3.819107142857149,3.819107142857149
T0G-1.jpg,0,1,GradientBoosting,LOO,10.620863549607044,-10.620863549607044,10.620863549607044
T10G-1.jpg,10,1,GradientBoosting,LOO,8.109767693733929,1.8902323062660713,1.8902323062660713
T10G-2.jpg,10,2,GradientBoosting,LOO,6.39087730471112,3.60912269528888,3.60912269528888
T10G-3.jpg,10,3,GradientBoosting,LOO,10.635151846214148,-0.6351518462141481,0.6351518462141481
T10G-4.jpg,10,4,GradientBoosting,LOO,8.609210582172272,1.3907894178277278,1.3907894178277278
T10G-5.jpg,10,5,GradientBoosting,LOO,10.635151846214148,-0.6351518462141481,0.6351518462141481
T20G-1.jpg,20,1,GradientBoosting,LOO,14.815123481096116,5.184876518903884,5.184876518903884
T20G-2.jpg,20,2,GradientBoosting,LOO,16.9006686750207,3.0993313249792998,3.0993313249792998
T20G-3.jpg,20,3,GradientBoosting,LOO,22.07167865680766,-2.0716786568076593,2.0716786568076593
T20G-4.jpg,20,4,GradientBoosting,LOO,20.16739755026388,-0.16739755026387826,0.16739755026387826
T20G-5.jpg,20,5,GradientBoosting,LOO,23.278983887839402,-3.278983887839402,3.278983887839402
T30G-1.jpg,30,1,GradientBoosting,LOO,28.46637468942284,1.5336253105771611,1.5336253105771611
T30G-2.jpg,30,2,GradientBoosting,LOO,29.964473103294285,0.03552689670571496,0.03552689670571496
T30G-3.jpg,30,3,GradientBoosting,LOO,29.964473103294285,0.03552689670571496,0.03552689670571496
T30G-4.jpg,30,4,GradientBoosting,LOO,29.964473103294285,0.03552689670571496,0.03552689670571496
T30G-5.jpg,30,5,GradientBoosting,LOO,29.964473103294285,0.03552689670571496,0.03552689670571496
T40G-1.jpg,40,1,GradientBoosting,LOO,37.18614710784975,2.8138528921502513,2.8138528921502513
T40G-2.jpg,40,2,GradientBoosting,LOO,39.68148671985157,0.31851328014843006,0.31851328014843006
T40G-3.jpg,40,3,GradientBoosting,LOO,39.68148671985157,0.31851328014843006,0.31851328014843006
T40G-4.jpg,40,4,GradientBoosting,LOO,39.68148671985157,0.31851328014843006,0.31851328014843006
T40G-5.jpg,40,5,GradientBoosting,LOO,39.68148671985157,0.31851328014843006,0.31851328014843006
T50G-1.jpg,50,1,GradientBoosting,LOO,41.16124058738923,8.83875941261077,8.83875941261077
T50G-2.jpg,50,2,GradientBoosting,LOO,49.20365072299711,0.7963492770028893,0.7963492770028893
T50G-3.jpg,50,3,GradientBoosting,LOO,49.20365072299711,0.7963492770028893,0.7963492770028893
T50G-4.jpg,50,4,GradientBoosting,LOO,49.20365072299711,0.7963492770028893,0.7963492770028893
T50G-5.jpg,50,5,GradientBoosting,LOO,49.20365072299711,0.7963492770028893,0.7963492770028893
