imagen,gramos,iteracion,modelo,validacion,grupo_excluido,predicho,error,error_abs
T10G-3.jpg,10.0,3,CatBoost,LOWO,10.0,36.37015591811971,-26.370155918119707,26.370155918119707
T10G-4.jpg,10.0,4,CatBoost,LOWO,10.0,34.871337838480855,-24.871337838480855,24.871337838480855
T10G-5.jpg,10.0,5,CatBoost,LOWO,10.0,36.45609551978568,-26.456095519785677,26.456095519785677
T20G-1.jpg,20.0,1,CatBoost,LOWO,20.0,28.825247726060926,-8.825247726060926,8.825247726060926
T20G-2.jpg,20.0,2,CatBoost,LOWO,20.0,34.41147242544864,-14.411472425448643,14.411472425448643
T20G-3.jpg,20.0,3,CatBoost,LOWO,20.0,33.94164197044525,-13.941641970445247,13.941641970445247
T20G-4.jpg,20.0,4,CatBoost,LOWO,20.0,27.782284011086436,-7.7822840110864355,7.7822840110864355
T20G-5.jpg,20.0,5,CatBoost,LOWO,20.0,27.909897528441217,-7.909897528441217,7.909897528441217
T30G-1.jpg,30.0,1,CatBoost,LOWO,30.0,26.579866544014212,3.4201334559857877,3.4201334559857877
T30G-2.jpg,30.0,2,CatBoost,LOWO,30.0,24.34333469172266,5.65666530827734,5.65666530827734
T30G-3.jpg,30.0,3,CatBoost,LOWO,30.0,32.2861521301741,-2.286152130174102,2.286152130174102
T30G-4.jpg,30.0,4,CatBoost,LOWO,30.0,33.126211955654995,-3.1262119556549948,3.1262119556549948
T30G-5.jpg,30.0,5,CatBoost,LOWO,30.0,31.41171313638529,-1.4117131363852913,1.4117131363852913
T40G-1.jpg,40.0,1,CatBoost,LOWO,40.0,23.21446126312111,16.78553873687889,16.78553873687889
T40G-2.jpg,40.0,2,CatBoost,LOWO,40.0,26.5527846469102,13.447215353089799,13.447215353089799
T40G-3.jpg,40.0,3,CatBoost,LOWO,40.0,23.87121954323259,16.12878045676741,16.12878045676741
T40G-4.jpg,40.0,4,CatBoost,LOWO,40.0,26.046775354174557,13.953224645825443,13.953224645825443
T40G-5.jpg,40.0,5,CatBoost,LOWO,40.0,21.068902883035314,18.931097116964686,18.931097116964686
T50G-1.jpg,50.0,1,CatBoost,LOWO,50.0,24.033889304135602,25.966110695864398,25.966110695864398
T50G-2.jpg,50.0,2,CatBoost,LOWO,50.0,24.880672916858536,25.119327083141464,25.119327083141464
T50G-3.jpg,50.0,3,CatBoost,LOWO,50.0,24.164549775690464,25.835450224309536,25.835450224309536
T50G-4.jpg,50.0,4,CatBoost,LOWO,50.0,22.117248951078533,27.882751048921467,27.882751048921467
T50G-5.jpg,50.0,5,CatBoost,LOWO,50.0,22.42522624021116,27.57477375978884,27.57477375978884
