imagen,gramos,iteracion,modelo,validacion,predicho,error,error_abs
T40G-5.jpg,40.0,5,Ridge,LOO,22.292103560391606,17.707896439608394,17.707896439608394
T50G-1.jpg,50.0,1,Ridge,LOO,29.222736106164014,20.777263893835986,20.777263893835986
T50G-2.jpg,50.0,2,Ridge,LOO,17.14915083168733,32.85084916831267,32.85084916831267
T50G-3.jpg,50.0,3,Ridge,LOO,37.80675511154618,12.193244888453819,12.193244888453819
T50G-4.jpg,50.0,4,Ridge,LOO,17.82797814866039,32.17202185133961,32.17202185133961
T50G-5.jpg,50.0,5,Ridge,LOO,30.899140312442086,19.100859687557914,19.100859687557914
T0G-1.jpg,0.0,1,SVR_RBF,LOO,33.496338498766555,-33.496338498766555,33.496338498766555
T10G-1.jpg,10.0,1,SVR_RBF,LOO,28.473128288336788,-18.473128288336788,18.473128288336788
T10G-2.jpg,10.0,2,SVR_RBF,LOO,27.838689305184353,-17.838689305184353,17.838689305184353
T10G-3.jpg,10.0,3,SVR_RBF,LOO,27.431827352705128,-17.431827352705128,17.431827352705128
T10G-4.jpg,10.0,4,SVR_RBF,LOO,31.509105863864818,-21.509105863864818,21.509105863864818
T10G-5.jpg,10.0,5,SVR_RBF,LOO,34.43812860013587,-24.43812860013587,24.43812860013587
T20G-1.jpg,20.0,1,SVR_RBF,LOO,27.37586608553594,-7.3758660855359395,7.3758660855359395
T20G-2.jpg,20.0,2,SVR_RBF,LOO,28.262476669727555,-8.262476669727555,8.262476669727555
T20G-3.jpg,20.0,3,SVR_RBF,LOO,28.84585062402566,-8.845850624025658,8.845850624025658
T20G-4.jpg,20.0,4,SVR_RBF,LOO,25.362490641934215,-5.362490641934215,5.362490641934215
T20G-5.jpg,20.0,5,SVR_RBF,LOO,25.43047096743466,-5.430470967434658,5.430470967434658
T30G-1.jpg,30.0,1,SVR_RBF,LOO,28.063999629603632,1.9360003703963677,1.9360003703963677
T30G-2.jpg,30.0,2,SVR_RBF,LOO,24.70468715261126,5.29531284738874,5.29531284738874
T30G-3.jpg,30.0,3,SVR_RBF,LOO,36.85833306265407,-6.858333062654069,6.858333062654069
T30G-4.jpg,30.0,4,SVR_RBF,LOO,31.447468011373964,-1.4474680113739637,1.4474680113739637
T30G-5.jpg,30.0,5,SVR_RBF,LOO,31.889192245295252,-1.889192245295252,1.889192245295252
T40G-1.jpg,40.0,1,SVR_RBF,LOO,28.44932911032087,11.550670889679129,11.550670889679129
T40G-2.jpg,40.0,2,SVR_RBF,LOO,32.22182837562118,7.778171624378821,7.778171624378821
T40G-3.jpg,40.0,3,SVR_RBF,LOO,27.003817768806297,12.996182231193703,12.996182231193703
