feature,importance
cold_lbp_25_9,0.00046288705988329476
cold_lbp_35_19,0.00045485060682147477
cold_lbp_40_18,0.00045131918994187434
cold_lbp_30_23,0.00045120942074217276
cold_lbp_30_25,0.00044843500915883706
cold_lbp_35_7,0.00043848219346066445
cold_lbp_35_12,0.0004274425413628839
cold_lbp_25_16,0.0004256541582658763
img_lbp_19,0.0004245421287317478
img_pix_percentile_count_85,0.00041933889850994115
cold_lbp_25_22,0.0004152172721792955
img_glcm_contrast_mean,0.0004056679008084692
cold_lbp_30_2,0.00040319083361788034
cold_lbp_25_17,0.0004006979561774001
cold_lbp_40_1,0.0003938835882574417
img_lbp_15,0.0003860816735204885
img_gray_max,0.0003742948375838104
cold_area_pct_25,0.0003474423240728507
cold_lbp_40_24,0.00034350303531184345
img_lbp_7,0.000340693923394779
cold_lbp_30_9,0.0003381162074222139
img_pix_count_100,0.0003352983821733836
acel_x_g,0.0003277862653271457
img_pix_density_130,0.0003243808594580168
cold_lbp_25_25,0.00032276559142652096
uv_intensity,0.00031486237487648295
img_pix_percentile_density_70,0.00030855468280062697
cold_lbp_40_19,0.000306127344069847
cold_area_pct_30,0.0002998870141128983
img_pix_percentile_density_95,0.000299288062505337
img_glcm_correlation_mean,0.000299087719039694
img_lbp_14,0.00029545454545454645
cold_lbp_30_15,0.00028744316468613514
img_lbp_22,0.00028304572506051586
img_gray_median,0.00027833821852982633
cold_lbp_35_8,0.00027012301155346255
img_lbp_20,0.000269706699812477
cold_lbp_25_18,0.00026059971003031425
img_gray_std,0.0002539960913551688
img_pix_percentile_count_60,0.00025191592519251674
cold_lbp_30_16,0.00025013394284007813
img_lbp_25,0.000249556342796617
cold_lbp_30_20,0.00024717238296009537
img_pix_count_80,0.00024142126864192686
img_pix_percentile_density_90,0.00024095545972992692
img_pix_count_180,0.00023456361821152927
img_lbp_2,0.00023158944795253074
cold_lbp_30_1,0.00023021762601800835
img_pix_percentile_count_90,0.00022585275060235503
cold_area_pct_40,0.0002252624566442899
cold_lbp_30_14,0.00021569947088332953
img_glcm_ASM_mean,0.00021158846778826295
img_pix_percentile_count_70,0.0002079787654734112
img_glcm_homogeneity_mean,0.0002064184380649577
cold_std_40,0.00020615222497791214
cold_lbp_25_19,0.0002056952612508149
cold_std_25,0.00020524469688530471
img_glcm_dissimilarity_mean,0.00020324891357626233
cold_lbp_30_3,0.00019785033552422005
img_lbp_10,0.00019638919028595674
cold_lbp_30_24,0.00018811127144460443
cold_mean_30,0.0001878838949125458
cold_lbp_35_10,0.00018736703355305944
cold_lbp_35_1,0.0001845797715403977
img_glcm_dissimilarity_std,0.00018319685240867538
img_lbp_11,0.00018062685593908583
cold_lbp_30_21,0.0001763200199778364
img_lbp_1,0.00016731448498564366
cold_lbp_40_17,0.00016349344978165942
img_glcm_contrast_std,0.00015981185775603207
cold_lbp_35_20,0.00015958520916648202
img_lbp_23,0.00015923234261814136
cold_lbp_30_18,0.00014902791045932198
cold_lbp_35_18,0.00014794338891822083
cold_lbp_35_23,0.00014788813378726094
cold_median_25,0.0001466641684566055
img_gray_iqr,0.0001349387271089565
cold_lbp_35_0,0.0001287589944406318
img_gray_p10,0.0001276878903513516
img_pix_count_130,0.00012310834245249488
cold_mean_40,0.0001193877551020416
img_gray_range,0.00011864100042845032
img_gray_min,0.00011423245906004477
img_lbp_9,0.00010335917312661469
img_lbp_21,9.946341981278384e-05
cold_median_35,9.663833744215216e-05
img_gray_p75,9.645538866029241e-05
cold_lbp_30_10,8.899023934438165e-05
img_gray_p90,8.84783665532319e-05
img_gray_p25,7.982456140350876e-05
img_glcm_ASM_std,7.971909312050455e-05
img_pix_density_180,7.806244995996798e-05
cold_lbp_40_25,7.750188449927905e-05
img_glcm_correlation_std,7.709901921366746e-05
cold_lbp_25_14,7.569875776397518e-05
img_pix_density_100,7.2003449856721e-05
cold_mean_25,6.435665305043337e-05
img_glcm_energy_std,5.851901868107045e-05
img_pix_percentile_density_85,5.8263305322128855e-05
cold_lbp_25_21,5.4257095158597655e-05
img_lbp_13,5.388601036269431e-05
img_lbp_8,4.5829398803903066e-05
img_lbp_0,4.186364154718585e-05
cold_median_40,4.1733547351524905e-05
cold_mean_35,3.929471032745592e-05
cold_median_30,3.1137724550898205e-05
cold_lbp_30_22,1.8318459370596524e-05
img_pix_count_150,0.0
img_pix_density_150,0.0
img_gray_mean,0.0
img_pix_density_80,0.0
img_pix_density_50,0.0
img_pix_count_50,0.0
cold_lbp_30_19,0.0
cold_lbp_25_24,0.0
