feature,importance_mean,importance_std
cold_lbp_35_9,0.00910256410256413,0.012586714346514911
cold_lbp_25_6,0.008846153846153918,0.005485321995694473
cold_lbp_40_16,0.008487179487179837,0.011708968112253963
cold_lbp_35_25,0.00820512820512848,0.003576900101019841
uv_intensity,0.008179487179487339,0.00431264977252793
cold_lbp_40_1,0.007974358974359209,0.0038022277977742104
img_pix_percentile_count_85,0.007461538461538653,0.004624563522236729
cold_lbp_25_20,0.0066153846153844155,0.0050582406839303
cold_lbp_40_6,0.00658974358974406,0.006571360170502489
cold_lbp_35_2,0.006461538461538548,0.005699925602476398
cold_lbp_25_25,0.006358974358974516,0.004872874374327811
cold_lbp_25_13,0.0061794871794875975,0.005541606419568408
img_gray_max,0.006025641025641263,0.002871909338378119
cold_lbp_40_15,0.006025641025641249,0.004157089585257382
cold_lbp_30_23,0.004923076923077229,0.0055241981577416
cold_lbp_35_7,0.004923076923076963,0.002234744468666745
cold_lbp_40_12,0.004846153846153959,0.00459890219298799
cold_lbp_35_19,0.004769230769230829,0.0035328830050562893
cold_lbp_35_17,0.004641025641025694,0.006313578658467814
cold_lbp_40_24,0.0044615384615383094,0.002133604519252834
cold_lbp_30_6,0.004435897435897732,0.008654406439602174
img_lbp_3,0.004435897435897577,0.003823953020048694
cold_lbp_40_11,0.004435897435897562,0.006226124680237217
cold_lbp_30_12,0.004230769230769149,0.006824801042537134
cold_lbp_30_17,0.004025641025641084,0.008908217807743013
cold_lbp_25_3,0.003923076923076733,0.003117362461753317
cold_area_pct_40,0.003897435897435882,0.001935175616832173
img_pix_percentile_count_75,0.003846153846153973,0.00444115591684325
cold_lbp_25_11,0.0037948717948720714,0.004132582485724243
img_lbp_16,0.0037948717948719977,0.0036994233429479494
cold_lbp_40_2,0.003743589743589807,0.004309218288932453
img_pix_percentile_count_90,0.003717948717948712,0.0019770211821744147
cold_lbp_30_1,0.0036666666666668253,0.004318134474352645
img_pix_count_180,0.0036410256410258856,0.004282588635100099
img_lbp_6,0.003615384615384842,0.005447073658382257
cold_lbp_25_15,0.0034871794871797366,0.0022882370786998234
cold_lbp_35_24,0.003333333333333314,0.005454973784309897
cold_lbp_35_14,0.0033333333333331956,0.00662114636782736
img_pix_percentile_density_60,0.0033076923076922264,0.0034063984346899747
cold_lbp_25_10,0.003205128205128201,0.0044281835997873565
cold_lbp_35_12,0.003102564102564398,0.0029890222114276254
cold_lbp_40_21,0.0030512820512821706,0.0038944826867973827
cold_lbp_25_19,0.0029999999999998548,0.002086398140147559
img_pix_percentile_density_75,0.00297435897435927,0.007182416984620188
cold_lbp_40_18,0.002923076923076732,0.0027763441402337413
cold_lbp_35_22,0.0028717948717948455,0.004323840307329515
img_pix_count_80,0.002820512820513025,0.002377850896280993
cold_lbp_40_19,0.002820512820512803,0.0030208567128252755
cold_lbp_30_25,0.002692307692307912,0.0049960536694719756
img_lbp_1,0.00269230769230769,0.0017957873122967623
cold_lbp_30_24,0.002641025641025722,0.0027712480781383855
cold_lbp_25_1,0.0025384615384620446,0.004577407860557543
cold_lbp_25_9,0.002461538461538552,0.004760123645486181
cold_lbp_35_0,0.0024358974358976346,0.002149109565928252
img_pix_count_100,0.002358974358974364,0.0016249209761800391
cold_lbp_30_11,0.0023589743589742824,0.003195986964283725
img_pix_density_100,0.0022051282051282445,0.0016466250623593595
cold_lbp_30_15,0.0021538461538459066,0.001556306759537718
cold_lbp_25_22,0.002128205128204952,0.004029885072990574
cold_lbp_40_23,0.0021025641025642196,0.0036940878899389407
img_lbp_15,0.0020512820512821844,0.0048987110703956295
img_pix_percentile_density_90,0.0019743589743587884,0.0014687183068328642
img_gray_std,0.0019230769230771457,0.0019127930155444445
cold_lbp_40_14,0.0016923076923076818,0.005573252549833024
img_pix_percentile_count_60,0.0016410256410254694,0.0029172231083749557
cold_lbp_35_18,0.0015128205128206451,0.0013097018245253843
cold_lbp_35_8,0.0014102564102566198,0.0027953422328140976
img_glcm_dissimilarity_std,0.0014102564102565162,0.0017210076096973892
img_pix_percentile_count_70,0.0014102564102562128,0.0019770211821745543
img_gray_iqr,0.0013846153846153693,0.0014783113133743358
cold_lbp_25_23,0.0013589743589746443,0.003261655376069312
img_glcm_dissimilarity_mean,0.0012564102564103083,0.0020301799196736263
cold_lbp_40_17,0.0011282051282051804,0.0015979934821419048
cold_lbp_30_21,0.00110256410256393,0.0015471974196457068
img_pix_density_180,0.0010769230769228865,0.0011850482059786447
cold_area_pct_30,0.0010512820512823466,0.0025472523258546456
img_pix_density_130,0.0009230769230770412,0.0018354389916075155
