feature,rf_importance,mutual_information,permutation_importance,rank_rf,rank_mi,rank_perm,rank_promedio
cold_lbp_40_20,0.0005271097155622396,0.021660545594181624,-0.0032820512820511756,86.0,120.0,205.0,137.0
img_lbp_12,0.0004645648599200111,0.0,0.00017948717948711076,95.0,175.0,144.0,138.0
cold_mean_30,0.0001878838949125458,0.08925790153399982,-0.0005897435897437075,158.0,80.0,176.0,138.0
cold_lbp_25_14,7.569875776397518e-05,0.09556345495493734,5.128205128184978e-05,191.0,76.0,147.0,138.0
cold_lbp_30_9,0.0003381162074222139,0.0,0.0008974358974360053,117.0,175.0,125.0,139.0
cold_area_pct_35,0.0006213096737507642,0.0,-0.00012820512820506115,80.0,175.0,162.0,139.0
img_glcm_energy_mean,0.000573064102822773,0.0050405163550761856,-0.003999999999999819,82.0,129.0,207.0,139.33333333333334
img_gray_std,0.0002539960913551688,0.0,0.0019230769230771457,135.0,175.0,109.0,139.66666666666666
cold_lbp_25_17,0.0004006979561774001,0.0,0.0004102564102565228,110.0,175.0,135.0,140.0
cold_lbp_25_16,0.0004256541582658763,0.0,0.00023076923076909377,104.0,175.0,141.5,140.16666666666666
img_lbp_23,0.00015923234261814136,0.1431461607107205,-0.003923076923076844,168.0,48.0,206.0,140.66666666666666
img_pix_percentile_count_60,0.00025191592519251674,0.0,0.0016410256410254694,136.0,175.0,111.0,140.66666666666666
cold_area_pct_30,0.0002998870141128983,0.0,0.0010512820512823466,125.0,175.0,122.0,140.66666666666666
img_pix_percentile_density_90,0.00024095545972992692,0.0,0.0019743589743587884,141.0,175.0,108.0,141.33333333333334
img_glcm_ASM_mean,0.00021158846778826295,0.032687232582407466,-0.000256410256410596,148.0,115.0,167.0,143.33333333333334
cold_mean_35,3.929471032745592e-05,0.09612603340213166,-1.4802973661668754e-17,201.0,74.0,156.0,143.66666666666666
cold_lbp_35_23,0.00014788813378726094,0.06612164005527577,-0.0002820512820512026,171.0,94.0,168.0,144.33333333333334
