thermal_mean,thermal_std,thermal_min,thermal_max,thermal_median,thermal_p10,thermal_p25,thermal_p75,thermal_p90,thermal_iqr,thermal_range,thermal_skew,thermal_kurtosis,thermal_entropy,hot_area_p90,hot_area_p75,cold_area_p10,cold_area_p25,thermal_cv,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_bin_10,lbp_bin_11,lbp_bin_12,lbp_bin_13,lbp_bin_14,lbp_bin_15,lbp_bin_16,lbp_bin_17,imagen,gramos,iteracion
0.38923144,0.2185879,0.0,1.0,0.5171678,0.060615174,0.10761928,0.5171678,0.5171678,0.40954852,1.0,-0.5195026,-0.5100002,4.891783414343314,0.024889407656619355,0.024889407656619355,0.0893566517248482,0.2500024521583898,0.5615885,187.94944395684266,164.68337366974382,3.4939387651161162,1.761578132009644,0.8023742567184003,0.026759996068568846,0.6149141457372324,0.005763848122851556,0.9691013910510714,0.027295231124434438,0.37815262857293347,0.007072008226130549,0.003173092956420241,0.0025600533589665623,0.004320703082853527,0.0046198664064109225,0.005041637649459054,0.009401575266549616,0.016037115869388236,0.03138762738962835,0.041559180390579785,0.04496768055242224,0.023795745014761994,0.026679483281184097,0.011250502692469912,0.011490814214671755,0.013741895616521662,0.013011152416356878,0.701851870015988,0.03511000382536709,T20G-5.jpg,20.0,5
0.2580344,0.18929866,0.0,1.0,0.30198336,0.045390934,0.112745434,0.30829546,0.56438714,0.19555002,1.0,1.4261863,2.8646183,9.84286780138812,0.10000392345342371,0.14943453227530873,0.10000392345342371,0.24999264352483055,0.7336179,71.93246857015295,62.252702193252674,3.37775074734864,1.692109929809227,0.5851338527317022,0.06541388303042511,0.34116219276267473,0.010542106188281887,0.9843415431251513,0.013621093061228972,0.11650277777352146,0.007134389416242919,0.008185304705201518,0.004193190846583162,0.00818040038842189,0.011152416356877323,0.013177899186864277,0.024065482437641613,0.041917195515492736,0.07747349216780611,0.09403536993261469,0.09527125776108131,0.05374150327117929,0.04609567341173701,0.020588321840884348,0.017763435375817795,0.014639385587193849,0.011382919245519907,0.40763209777245935,0.050504654196623866,T30G-1.jpg,30.0,1
0.24071719,0.22104381,0.0,1.0,0.16206536,0.14726073,0.16206536,0.18785825,0.65422934,0.025792897,1.0,2.2022324,3.897437,7.464762313582044,0.10000392345342371,0.24972781041873057,0.10000392345342371,0.11184294415944915,0.9182718,248.10556152447228,200.26031390380723,4.61313059927108,2.1919426497203194,0.6786175594800555,0.04515731791474399,0.5077706924305346,0.00909839407926302,0.9604709813109203,0.03205392284775244,0.2579138568662062,0.009200278002468767,0.009999901913664407,0.007003364361310826,0.009200498278584811,0.013349550274151308,0.013016056733136506,0.020573608890545457,0.03200557130386166,0.05215740895135899,0.05763553079420506,0.05599748898980883,0.03198595403674314,0.02855783660778217,0.013741895616521662,0.012756127943816148,0.010137222783494031,0.007130876597581191,0.5728045825935989,0.05194652332983492,T30G-2.jpg,30.0,2
0.3081736,0.2559518,0.0,1.0,0.13116904,0.10633958,0.1079884,0.5022533,0.74926764,0.39426488,1.0,0.88316983,-0.59637,12.61911050072286,0.09998921050308482,0.24999264352483055,0.0674245470863454,0.24965424566703612,0.8305442,125.69897172973442,109.913697203242,4.612505549968165,2.3553266385179015,0.5142391314318103,0.07530997836964594,0.22559333314244875,0.020067518380045255,0.9851297338843038,0.013034339795652052,0.05129505725225331,0.008894455062728958,0.011736030053653226,0.005801806750301616,0.010034232131121814,0.014026345989740169,0.016488313013114143,0.030583319437769124,0.05196123628017381,0.09847377661817933,0.11985659777736364,0.10721326911947897,0.05007307432001648,0.04248119194515012,0.019288677894282548,0.01764082745632706,0.017003266274975233,0.012491294837716159,0.32341517003266274,0.05143157006797383,T30G-3.jpg,30.0,3
0.5091851,0.22512008,0.0,1.0,0.41176474,0.30718958,0.36667693,0.7870967,0.8103299,0.42041975,1.0,0.34259886,-0.5782714,10.714346359700809,0.09892987807868486,0.2499828348912713,0.08534492059911133,0.2498504183382213,0.44211838,318.8722356440628,246.82395225309267,7.823499888108633,3.610555280371742,0.47385545007805113,0.07708221162867011,0.14130190514040802,0.021775370343187446,0.9511649300310757,0.03795515960010004,0.02044039514989184,0.005961872753555072,0.013511392727879079,0.007111259330462673,0.010809114182303263,0.015973359751253052,0.01642455689497896,0.032912869908093105,0.05325597590999598,0.08328020323488734,0.0875714804170631,0.1063697266333827,0.06291257564908632,0.06469284264009181,0.029367048876421026,0.024546105482045295,0.023756510480524958,0.01668939000107895,0.26957067610911123,0.08124491177134113,T30G-4.jpg,30.0,4
0.61820686,0.2883988,0.0,1.0,0.7108082,0.11452085,0.4963283,0.82420003,0.9051942,0.32787174,1.0,-0.8419146,-0.64034534,13.414287048871836,0.09999901913664408,0.24992398308991573,0.09999411481986445,0.2500024521583898,0.46650857,238.70447571976925,199.95253268482148,7.06889694638139,3.428761175431529,0.40811993428421184,0.08468385220197254,0.08976917548132274,0.01236231541268484,0.9778971638378371,0.018526331048867004,0.008211331708959222,0.002163057840860112,0.009362340732312582,0.0056841031475905095,0.009161263744347775,0.013609479063471668,0.016316661925827113,0.029999705740993223,0.054050475228295945,0.11639905444772489,0.14475581406754226,0.13974360231876098,0.08096046139812263,0.0628929583819678,0.027979127227785897,0.023521103275102744,0.02100518876715285,0.017233769163617817,0.15959137232592127,0.06773351904346206,T30G-5.jpg,30.0,5
0.18826339,0.26985782,0.0,1.0,0.09631144,0.04140442,0.05683912,0.11498949,0.7682611,0.05815037,1.0,2.2205749,3.378571,11.727758424922468,0.09999901913664408,0.24997793057449166,0.09997940186952556,0.18020421575070378,1.4334056,263.19949906462233,211.41067514815575,5.644790874615115,2.564879752890265,0.5515636855831483,0.06829447005227868,0.2128450361026379,0.01962897156408003,0.9717959321814792,0.022792686276951503,0.04568830591819669,0.008194626274749066,0.01229512216653098,0.00782238526350894,0.011770360271110631,0.015100391364479014,0.015325989936341967,0.026821708467793352,0.0420103775343057,0.06887622485311572,0.0753548273190062,0.09060725250365372,0.05901364380928093,0.056022010573706975,0.028312620768800697,0.024918833557297133,0.02796441427744701,0.023516198958323117,0.33137978048278094,0.082887857892517,T40G-1.jpg,40.0,1
0.20710123,0.18659702,0.0,1.0,0.08997381,0.02661846,0.05220568,0.342922,0.39745706,0.29071632,1.0,1.3240789,3.1691217,13.192115670493198,0.0768065050857765,0.2499828348912713,0.09992545438494964,0.24997793057449166,0.90099424,105.74715824216383,90.47377830884484,3.9513032401223014,1.9688031299930102,0.5329773703574691,0.09026188604752572,0.14020767951064148,0.00989544888935122,0.9762630142018445,0.020453734013168128,0.01975611330248052,0.002745439568464086,0.00886700473757001,0.00515934125217016,0.009234828496042216,0.014521681984482742,0.01582623024786417,0.027969318594226637,0.04991613618306834,0.09899363419682004,0.10915537856421222,0.11416268599621386,0.07161773793292857,0.06321664328942335,0.028082117880158117,0.025080676011024903,0.022039999607654657,0.01589979499955861,0.24640758795892145,0.07384920206765995,T40G-2.jpg,40.0,2
0.21674633,0.18167575,0.0,1.0,0.21401776,0.0,0.030577967,0.39121312,0.39784953,0.36063516,1.0,0.9270442,2.208263,10.617324805193393,0.09234828496042216,0.24963953271669723,0.0,0.2498504183382213,0.8381952,177.74626018343147,144.96134466016696,5.880059393689464,2.777127633028537,0.5367266788396928,0.07203769939709222,0.18628635400558768,0.020961127812677165,0.9580813895251522,0.03431235980587474,0.035141974567874525,0.00760902882804819,0.01480122804092162,0.008847387470451492,0.011520240115349531,0.01625290580769193,0.015978264068032683,0.03045090288471913,0.04965130307696835,0.084422909044541,0.08277015428980589,0.08625712352012241,0.04788084471952212,0.044428205706663004,0.020401957803258427,0.017508410903277063,0.015889986365999354,0.011995958842973586,0.3681866779138998,0.0727555394258026,T40G-3.jpg,40.0,3
0.4472814,0.32184994,0.0,1.0,0.29550147,0.03921958,0.27332023,0.7674715,0.93793374,0.49415126,1.0,0.4130376,-1.2284617,11.042279178344549,0.09981755941579779,0.24998773920805092,0.09997449755274593,0.24999264352483055,0.71956927,328.8844247965232,271.38372030640653,7.8822737691803155,3.757850424512523,0.5040117904621366,0.06507081422789943,0.24066001723764793,0.0181275750926203,0.9755833110159587,0.020147134855262563,0.058245852875563574,0.008566123965005428,0.01618914968955675,0.007037694578768232,0.012118566762464322,0.01718472599582152,0.018302910221577033,0.03120616766878206,0.048189816676638776,0.07938617571186159,0.086355209855715,0.09312316701160361,0.059043069709958707,0.050014222518660924,0.023987013369167542,0.02012731606359918,0.017655540406665948,0.013800747417877216,0.33764749732714733,0.06863100901413424,T40G-4.jpg,40.0,4
